reference,transfer_to_source,status,payment_method_code,updated_at
zspb-vkra,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:37:27
g2t0-pdiy,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:37:28
tlgq-478n,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:37:28
q5id-zzl2,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:38:01
f4vn-te0b,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:38:43
s0ab-e2ks,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:38:50
zlv5-snmr,True,canceled,yemekpay_creditcard,2024-05-04 22:39:00
q3ra-wq3e,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:39:00
i643-d2nj,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:39:30
eww7-dbj6,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:39:51
b816-a5jm,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:40:11
z7hx-ustq,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:40:12
d72h-g1xj,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:40:12
lfg2-qfqd,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:40:12
ztp6-e631,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:40:12
ctvp-ubhp,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:40:12
d72h-meeq,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:40:12
g7y6-iq76,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:40:13
jkdz-wc47,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:40:13
l2m8-o59o,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:40:13
g7y6-uuq2,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:40:13
x7s8-x2e4,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:40:13
rdqf-d236,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:40:13
g7y6-64b0,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:40:13
nwyk-b0sq,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:40:13
be4s-adkh,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:40:13
lfg2-wdib,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:40:13
x4qm-7c3a,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:40:13
wrra-op3u,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:40:13
iczr-ih63,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:40:13
kcu9-86ax,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:40:13
dm0l-9ls0,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:40:14
od46-3nt0,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:40:17
qmdg-cgkp,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:40:20
lt3g-jrrg,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:40:30
yl1i-w1ws,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:40:52
epan-z29n,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 22:40:57
mlum-vvv5,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:41:04
nh9r-brwx,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:41:24
gtql-esrm,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:41:36
n43e-4mml,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:42:05
pgbd-liht,False,canceled,yemekpay_creditcard,2024-05-04 22:42:13
zo4m-2sku,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:42:14
qs3q-fe30,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:42:15
jt5z-nns9,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:42:22
c6ux-dtyj,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 22:42:27
x94m-i7le,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:42:38
e112-e42o,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:42:47
qb02-drza,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:42:49
f1ut-craj,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:43:00
ntdg-2r6l,True,canceled,yemekpay_creditcard,2024-05-04 22:43:01
zqju-alka,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:43:04
x72d-4o26,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:43:26
cx65-sw2r,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:43:34
ybxz-p0i6,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:43:48
ua9q-5pyf,False,canceled_to_wallet,balance,2024-05-04 22:43:48
uke4-9dlp,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:43:50
vyrc-q8rw,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:43:57
sykw-8sly,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:43:59
o83z-douy,False,canceled,craftgate_edenred,2024-05-04 22:44:10
nu90-vfpg,True,canceled,yemekpay_creditcard,2024-05-04 22:44:18
sp51-uiw3,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:44:21
d3n6-wjhr,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 22:44:50
