reference,transfer_to_source,status,payment_method_code,updated_at
ciic-godj,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 12:20:29
t9av-vkcv,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 12:20:29
iljp-ii5r,False,canceled,yemekpay_creditcard,2024-05-04 12:20:30
xva7-snol,False,canceled,yemekpay_creditcard,2024-05-04 12:20:31
dwqb-cwqs,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 12:20:31
gowf-ar29,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 12:20:31
w10x-9l5d,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 12:20:32
qc3l-y9sb,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 12:20:32
c6p3-k6l2,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 12:20:33
jnvy-tj4n,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 12:20:33
u26w-cyjx,False,partially_refunded_to_wallet,yemekpay_creditcard,2024-05-04 12:20:33
vuxy-r0vb,False,canceled,yemekpay_creditcard,2024-05-04 12:20:34
w0ba-j3yz,False,canceled,yemekpay_creditcard,2024-05-04 12:20:34
f80r-qqs5,False,canceled,yemekpay_creditcard,2024-05-04 12:20:35
vuxy-in10,False,canceled,yemekpay_creditcard,2024-05-04 12:20:36
wct9-qyvl,False,partially_refunded_to_wallet,yemekpay_creditcard,2024-05-04 12:20:38
vniv-ke53,False,partially_refunded_to_wallet,yemekpay_creditcard,2024-05-04 12:20:38
hbhj-3uvx,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 12:20:43
oepm-cett,False,canceled,yemekpay_creditcard,2024-05-04 12:20:44
ho8t-3kz8,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 12:20:44
mlrn-5jnt,False,canceled,yemekpay_creditcard,2024-05-04 12:20:45
cpky-nuu3,False,canceled,yemekpay_creditcard,2024-05-04 12:20:45
a5r8-xovg,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 12:20:45
adk0-w72s,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 12:20:45
kjzp-rzd3,False,canceled,yemekpay_creditcard,2024-05-04 12:20:46
b91c-w2mg,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 12:20:46
b15n-au7p,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 12:20:46
iajl-mqac,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 12:20:47
lnuz-uwet,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 12:20:48
fm4d-p2dw,False,canceled,yemekpay_creditcard,2024-05-04 12:20:50
kkrk-gnpr,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 12:20:51
nvwl-qowb,False,canceled,yemekpay_creditcard,2024-05-04 12:20:52
jxt0-pt2s,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 12:20:56
pwcq-xvcp,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 12:21:17
aner-92sr,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 12:21:28
z48y-095g,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 12:21:28
rt3w-delj,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 12:21:29
xrvj-x2ym,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 12:21:29
vuxy-0802,False,canceled,yemekpay_creditcard,2024-05-04 12:21:31
jh1u-7h7h,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 12:21:31
undg-yl84,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 12:21:32
g3kd-9f4k,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 12:21:32
i7z9-hixx,False,canceled,yemekpay_creditcard,2024-05-04 12:21:34
rp5d-q66s,False,canceled,yemekpay_creditcard,2024-05-04 12:21:35
ox5o-zvir,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 12:21:35
ps1f-zzmn,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 12:21:36
icmh-fzay,False,canceled,yemekpay_creditcard,2024-05-04 12:21:37
gmiu-dtd1,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 12:21:37
dg4o-ljv7,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 12:21:37
aco8-ephr,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 12:21:37
kpuy-nrh4,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 12:21:37
xlls-ct7s,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 12:21:37
hy5d-oyqs,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 12:21:38
vj0c-4vgn,False,canceled,yemekpay_creditcard,2024-05-04 12:21:39
lhuz-ejxx,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 12:21:50
tx25-f6br,False,partially_refunded_to_wallet,yemekpay_creditcard,2024-05-04 12:21:50
db22-ywz2,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 12:22:19
e2fc-d6ue,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 12:22:19
sgoe-nn7m,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 12:22:20
ur1e-tp5p,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 12:22:21
o064-1fqd,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 12:22:21
v6jw-ad4l,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 12:22:21
