reference,transfer_to_source,status,payment_method_code,updated_at
czxs-bn8u,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:20:13
mja4-dvew,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:20:13
qom9-dlog,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:20:13
nfl3-wfi3,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:20:13
ured-oodn,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:20:13
xcgc-sp6s,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:20:13
kjnj-79c6,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:20:13
xwfz-nlg4,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:20:13
uz2y-5iwt,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:20:13
kbs1-wnx4,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:20:14
qo5o-xlo1,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:20:14
ylc0-jokc,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:20:14
qq3e-q8hk,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:20:14
ak6d-p259,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:20:14
y3yb-6fwj,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:20:14
ured-miej,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:20:14
ty3r-rjnr,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:20:14
bhe9-xq07,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:20:14
atod-xfxr,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:20:14
lh05-usev,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:20:14
xfx7-vx58,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:20:18
ciaq-1vy7,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:20:24
mlrn-vha4,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 19:20:27
simj-2sm2,False,partially_refunded_to_wallet,yemekpay_creditcard,2024-05-04 19:20:27
glfb-6xbp,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:20:31
xpu3-801g,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:20:34
hdks-3z09,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:20:37
h12m-3yhe,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:20:46
xxrl-2lep,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:20:47
rva6-jaya,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:20:54
re6x-qjc3,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:20:55
x7xm-iy4s,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:21:09
hy3q-uh5x,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:21:12
y30u-97sc,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:21:14
bb7n-fzmu,True,canceled,yemekpay_creditcard,2024-05-04 19:21:17
h2nt-hoyt,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:21:18
c0rb-wl4v,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:21:23
xztm-alpl,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:21:23
lhuz-7qbk,False,canceled,yemekpay_creditcard,2024-05-04 19:21:24
ug2a-aext,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:21:33
guat-7ds9,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:21:43
s2br-wdv5,True,canceled,yemekpay_creditcard,2024-05-04 19:21:44
g2g5-tqhc,False,canceled,yemekpay_creditcard,2024-05-04 19:21:48
m5nf-czba,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:21:55
bxn6-lc6t,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 19:21:57
ea1e-xi2p,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 19:21:57
uxgq-fz17,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 19:21:57
wrkd-kfbc,False,partially_refunded_to_wallet,yemekpay_creditcard,2024-05-04 19:21:57
m6x3-iart,False,canceled_to_wallet,balance,2024-05-04 19:22:13
hx6o-mvc5,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:22:26
aawd-i4ea,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 19:22:27
hmy0-b2sh,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 19:22:27
x4hv-5r0z,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:22:39
u1wt-rqb0,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:22:48
gt05-4j9k,True,canceled,yemekpay_creditcard,2024-05-04 19:22:52
mctn-vgdg,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:22:54
a2mt-ljbf,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:22:54
lxoc-gr1g,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 19:22:57
lhuz-s0vl,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 19:22:57
gtxa-pyzx,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 19:22:57
llhr-ygv8,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 19:22:57
ypds-ppv3,False,canceled,yemekpay_creditcard,2024-05-04 19:23:01
tpp0-w8wu,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:23:01
d1cn-ayjt,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:23:01
zh3w-q5qu,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:23:11
pmv9-50ov,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:23:11
iyw4-e3fn,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 19:23:27
fnbo-59zh,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:23:31
cdoe-355f,True,canceled,yemekpay_creditcard,2024-05-04 19:23:33
clgf-80uz,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:23:33
tw09-rjjp,False,canceled,yemekpay_creditcard,2024-05-04 19:23:35
cpkw-l9ui,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:23:39
ozji-javj,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:23:39
v930-ovja,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:23:40
spur-q01h,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:23:45
cf4o-yymb,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:23:45
q3z0-jbep,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:23:53
v2ci-dh9a,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:23:56
lom1-pi3p,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 19:23:57
n62r-n9v8,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:24:00
nja6-8wc0,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:24:03
fscs-uso1,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:24:04
j66d-m7xg,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:24:05
dko5-0x9l,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:24:12
ngiz-v1l3,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:24:14
fjys-xpp0,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:24:16
nxtu-hkdo,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:24:36
dhn7-kn03,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:24:38
vwsl-z7la,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:24:40
upvk-mh9b,False,canceled,yemekpay_creditcard,2024-05-04 19:24:44
y39t-9u7m,True,canceled,yemekpay_creditcard,2024-05-04 19:24:50
m4fm-mjxb,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:24:51
vapn-asjr,False,canceled,yemekpay_creditcard,2024-05-04 19:24:52
oklk-3s1w,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:24:52
i473-aj76,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:24:54
pe0o-89dk,False,partially_refunded_to_wallet,balance,2024-05-04 19:24:57
nf2c-lvj2,False,canceled,craftgate_edenred,2024-05-04 19:25:01
xe6q-cpjp,True,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 19:25:03
dbap-p1ue,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:25:06
eu3g-wrbn,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:25:10
nicv-gsdy,False,canceled,yemekpay_creditcard,2024-05-04 19:25:14
emvr-t4zn,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:25:16
shbr-wg9j,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:25:16
twh4-9bxx,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:25:16
nyby-o6bp,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:25:16
hup9-ikih,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:25:16
yl5m-w9wy,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:25:16
yqod-ydll,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:25:16
yvlh-31sq,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:25:17
shbr-hu5j,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:25:17
x1ar-8rkg,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:25:17
izci-07si,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:25:17
yqod-1a41,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:25:17
lqqm-4omd,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:25:17
ho7f-sn4v,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:25:17
izci-kjgq,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:25:17
e4ri-6d8z,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:25:17
e0li-tq7w,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:25:17
qxod-hkpo,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:25:17
yqod-uofb,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:25:17
n90s-gd68,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:25:17
uu81-wptl,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:25:17
gaso-i1m5,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:25:17
c1qi-khlz,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:25:17
t74z-722z,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:25:17
yqod-ur34,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:25:17
yqod-qzkp,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 19:25:18
