reference,transfer_to_source,status,payment_method_code,updated_at
mw0q-hnvo,False,canceled,yemekpay_creditcard,2024-05-05 18:55:23
f2rf-cvfb,False,canceled,yemekpay_creditcard,2024-05-05 18:55:27
n75h-8r2b,False,canceled,yemekpay_creditcard,2024-05-05 18:55:32
n2z9-nsj5,False,canceled,yemekpay_creditcard,2024-05-05 18:55:35
wjky-5nhy,False,canceled,yemekpay_creditcard,2024-05-05 18:55:37
lxni-hoha,False,canceled,yemekpay_creditcard,2024-05-05 18:55:44
nkku-et1f,False,canceled,yemekpay_creditcard,2024-05-05 18:55:44
qm30-s3ic,False,canceled,yemekpay_creditcard,2024-05-05 18:55:46
f6nk-fswq,False,canceled,yemekpay_creditcard,2024-05-05 18:55:54
q3ra-2d3z,False,canceled,yemekpay_creditcard,2024-05-05 18:56:01
g6ap-oo4z,False,canceled,yemekpay_creditcard,2024-05-05 18:56:05
i3re-zxl6,False,canceled,yemekpay_creditcard,2024-05-05 18:56:08
kb26-ip2s,False,canceled,yemekpay_creditcard,2024-05-05 18:56:20
xwd2-1wzk,False,canceled,yemekpay_creditcard,2024-05-05 18:56:22
kb26-kcuj,False,canceled,yemekpay_creditcard,2024-05-05 18:56:24
vske-43nr,False,canceled,yemekpay_creditcard,2024-05-05 18:56:26
ox5o-x64u,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-05 18:56:27
kovt-mwmx,False,canceled,yemekpay_creditcard,2024-05-05 18:56:44
gith-288j,False,canceled,yemekpay_creditcard,2024-05-05 18:56:51
r90h-nukv,False,canceled,yemekpay_creditcard,2024-05-05 18:56:57
oko3-aqub,False,canceled,yemekpay_creditcard,2024-05-05 18:56:59
be8x-tkfy,False,canceled,yemekpay_creditcard,2024-05-05 18:57:02
x5b8-xml1,False,canceled,yemekpay_creditcard,2024-05-05 18:57:04
z0cg-i9z4,False,canceled,yemekpay_creditcard,2024-05-05 18:57:07
x2wz-eey4,False,canceled,yemekpay_creditcard,2024-05-05 18:57:08
cc4u-16d8,False,canceled,yemekpay_creditcard,2024-05-05 18:57:11
v9ri-tcbx,False,canceled,yemekpay_creditcard,2024-05-05 18:57:12
tts9-c71e,False,canceled,yemekpay_creditcard,2024-05-05 18:57:15
dsda-6bn1,False,canceled,yemekpay_creditcard,2024-05-05 18:57:17
bv1e-hwzn,False,canceled,yemekpay_creditcard,2024-05-05 18:57:21
c27w-h0x0,False,canceled,yemekpay_creditcard,2024-05-05 18:57:21
su8b-i8vk,False,canceled,yemekpay_creditcard,2024-05-05 18:57:23
qqz8-oifm,False,canceled,yemekpay_creditcard,2024-05-05 18:57:24
rain-uzzf,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-05 18:57:27
s2pj-nvh3,False,canceled,yemekpay_creditcard,2024-05-05 18:57:30
jo4x-61uq,False,canceled,yemekpay_creditcard,2024-05-05 18:57:43
j6kz-l0wb,False,canceled,yemekpay_creditcard,2024-05-05 18:57:43
olzp-ut7p,False,canceled,yemekpay_creditcard,2024-05-05 18:57:43
eiqb-m1sb,False,canceled,yemekpay_creditcard,2024-05-05 18:57:45
zvt6-kqwb,False,canceled,yemekpay_creditcard,2024-05-05 18:57:50
lvq1-qfq7,False,canceled,yemekpay_creditcard,2024-05-05 18:57:54
f3lj-0uls,False,canceled,yemekpay_creditcard,2024-05-05 18:58:01
q3tg-yjr2,False,canceled,yemekpay_creditcard,2024-05-05 18:58:07
qb33-adwn,False,canceled,yemekpay_creditcard,2024-05-05 18:58:12
mlrn-b8g5,False,canceled,yemekpay_creditcard,2024-05-05 18:58:16
qohh-5p8f,False,canceled,yemekpay_creditcard,2024-05-05 18:58:21
n8th-chjt,False,canceled,yemekpay_creditcard,2024-05-05 18:58:23
j3a6-onny,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-05 18:58:27
o60q-mmle,False,canceled,yemekpay_creditcard,2024-05-05 18:58:28
ynki-hjj9,False,canceled,yemekpay_creditcard,2024-05-05 18:58:30
wzr9-cr0s,False,canceled,yemekpay_creditcard,2024-05-05 18:58:32
aj36-b2br,False,canceled,yemekpay_creditcard,2024-05-05 18:58:43
q7hf-ocnq,False,canceled,yemekpay_creditcard,2024-05-05 18:58:44
b6sk-x0jb,False,canceled,yemekpay_creditcard,2024-05-05 18:58:50
ialw-g1f4,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-05 18:58:57
