reference,transfer_to_source,status,payment_method_code,updated_at
l59d-b3x0,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:53:06
azid-6gt7,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:53:06
pmlf-xn1n,False,canceled_to_wallet,balance,2024-05-04 13:53:06
p23o-kwso,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:53:06
aaxq-a1q2,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:53:06
r9qe-a5oo,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:53:06
ciuo-8a5q,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:53:08
ba0x-gusc,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:53:09
fyz8-c2s8,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:53:09
mrc5-h2m4,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:53:09
q470-htno,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:53:09
g20j-918c,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:53:09
eelk-0mcj,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:53:10
jsu1-j4fq,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:53:10
rze3-8q4m,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:53:10
ai7l-wqi8,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:53:11
voyr-eckb,False,canceled,yemekpay_creditcard,2024-05-04 13:53:12
n91b-esem,False,canceled,yemekpay_creditcard,2024-05-04 13:53:13
uzee-lz93,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:53:13
cdh8-wf5q,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:53:14
cfhv-j6qh,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:53:16
zj5t-xa2n,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:53:16
a3rq-1l9m,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:53:16
mayz-wtji,False,canceled,yemekpay_creditcard,2024-05-04 13:53:17
cvcy-zhc2,False,canceled,yemekpay_creditcard,2024-05-04 13:53:18
tg8b-8j38,False,canceled,yemekpay_creditcard,2024-05-04 13:53:18
io52-598k,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:53:18
yb0x-474z,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:53:18
m8zi-nwrw,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:53:19
bu4b-znr2,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:53:19
x1ar-4f1h,False,canceled,yemekpay_creditcard,2024-05-04 13:53:20
l2j6-31lh,False,canceled,yemekpay_creditcard,2024-05-04 13:53:20
mqkv-c4qq,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:53:20
