reference,transfer_to_source,status,payment_method_code,updated_at
aner-bff2,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:40:49
mh2x-b0po,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:40:49
lwkr-4uur,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:40:49
ryc8-64pn,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:40:49
wkpq-d4e4,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:40:49
vtp0-n3fe,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:40:49
ewap-n8ne,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:40:49
h576-t2ca,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:40:49
c2kb-7bes,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:40:49
yyv0-t4je,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:40:49
ebtq-olgs,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:40:49
xcgq-o43g,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:40:49
tcjg-lizv,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:40:49
z65z-7gu4,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:40:49
u23x-canv,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:40:49
hlf9-7q46,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:40:49
or6t-qi74,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:40:49
o1ii-by9z,False,canceled,yemekpay_creditcard,2024-05-04 13:40:50
m4b9-s3fn,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:40:50
mwet-gwil,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:40:50
fe4j-ct49,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:40:50
woyx-84j5,False,canceled,yemekpay_creditcard,2024-05-04 13:40:51
zvje-iqlh,False,canceled,yemekpay_creditcard,2024-05-04 13:40:51
udge-hnee,False,canceled,yemekpay_creditcard,2024-05-04 13:40:51
wu7h-45v9,False,canceled,yemekpay_creditcard,2024-05-04 13:40:51
rp5d-l567,False,canceled,yemekpay_creditcard,2024-05-04 13:40:51
i5tl-9g2r,False,canceled,yemekpay_creditcard,2024-05-04 13:40:51
e7i6-b3nw,False,canceled,yemekpay_creditcard,2024-05-04 13:40:51
rre9-djx2,False,canceled,yemekpay_creditcard,2024-05-04 13:40:51
pav4-qux1,False,canceled,yemekpay_creditcard,2024-05-04 13:40:51
pv9o-czhq,False,canceled,yemekpay_creditcard,2024-05-04 13:40:51
hd9k-btn9,False,canceled,yemekpay_creditcard,2024-05-04 13:40:51
h1m5-66ve,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:40:51
cnre-2tuq,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:40:51
zxkz-3axg,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:40:51
pk61-0wkz,False,canceled,yemekpay_creditcard,2024-05-04 13:40:52
mo3o-cqob,False,canceled,yemekpay_creditcard,2024-05-04 13:40:52
zepx-i72b,False,canceled,yemekpay_creditcard,2024-05-04 13:40:52
xgex-6enl,False,canceled,yemekpay_creditcard,2024-05-04 13:40:52
zexr-n9my,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:40:52
c5ff-rhj5,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:40:52
ba7a-s4nr,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:40:52
ipo3-tvz1,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:40:52
c6k4-kbl9,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:40:53
q78z-zbdz,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:40:53
v65g-84lv,False,canceled,craftgate_edenred,2024-05-04 13:40:54
cx90-tivy,False,canceled,yemekpay_creditcard,2024-05-04 13:40:55
mp0q-svkk,False,canceled,yemekpay_creditcard,2024-05-04 13:40:55
pv9o-vx41,False,canceled,yemekpay_creditcard,2024-05-04 13:40:55
t696-whe1,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:40:55
h51c-mr00,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:40:55
z2i6-5ytk,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:40:55
azuu-fcmh,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 13:40:55
