reference,transfer_to_source,status,payment_method_code,updated_at
iuhk-5eix,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 15:11:09
r33p-frfs,False,canceled,yemekpay_creditcard,2024-05-04 15:11:10
di0p-ogh4,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 15:11:10
rujj-i6sj,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 15:11:10
wj8l-4l6q,True,canceled,yemekpay_creditcard,2024-05-04 15:11:11
qj5w-uyx2,False,canceled,yemekpay_creditcard,2024-05-04 15:11:11
gtfl-x1ra,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 15:11:11
fkgm-j8a7,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 15:11:11
k3ju-p2xj,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 15:11:11
q0tm-xdyn,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 15:11:12
qr6b-bkms,False,canceled,yemekpay_creditcard,2024-05-04 15:11:13
tftg-asua,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 15:11:13
svyi-sqqd,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 15:11:13
x4jk-su4b,False,canceled,yemekpay_creditcard,2024-05-04 15:11:15
humi-jtwe,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 15:11:15
wz2s-f5xg,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 15:11:15
ivlv-da20,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 15:11:15
wj8l-s6mi,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 15:11:17
xn6t-tvwq,False,canceled,yemekpay_creditcard,2024-05-04 15:11:21
l4v9-mtd8,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 15:11:23
dsox-bn8m,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 15:11:27
voi7-1eu8,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 15:11:27
akwy-r4ul,False,partially_refunded_to_wallet,yemekpay_creditcard,2024-05-04 15:11:27
yt17-zcrh,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 15:11:33
v1dv-ve0q,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 15:11:41
w3lk-o0d9,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 15:11:44
pi47-j34k,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 15:11:49
s0np-8fvj,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 15:11:51
txwl-3srh,True,canceled,yemekpay_creditcard,2024-05-04 15:11:56
es9y-rauj,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 15:11:56
wl5t-ub60,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 15:11:57
cipb-vvam,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 15:11:57
t93d-gh4s,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 15:11:57
wl5t-yapn,False,canceled,yemekpay_creditcard,2024-05-04 15:12:01
eamw-lu2g,False,canceled,yemekpay_creditcard,2024-05-04 15:12:02
f9yy-enon,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 15:12:03
ye24-5emu,True,canceled,yemekpay_creditcard,2024-05-04 15:12:07
chee-4kke,True,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 15:12:09
wewx-9eb0,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 15:12:10
lhin-lncz,True,canceled,yemekpay_creditcard,2024-05-04 15:12:13
wsv1-etty,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 15:12:13
ru93-em9f,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 15:12:14
iv8f-9kji,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 15:12:15
gvam-jl6u,True,canceled,yemekpay_creditcard,2024-05-04 15:12:17
aqfc-yk3y,True,canceled,yemekpay_creditcard,2024-05-04 15:12:18
gepi-wzpf,False,canceled,yemekpay_creditcard,2024-05-04 15:12:21
