reference,transfer_to_source,status,payment_method_code,updated_at
pgsd-koiq,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-05 14:24:57
pjec-a9kt,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-05 14:24:57
eznn-hfq7,False,canceled,yemekpay_creditcard,2024-05-05 14:24:58
whyb-khii,False,canceled,yemekpay_creditcard,2024-05-05 14:25:00
mtzl-lxhj,False,canceled,yemekpay_creditcard,2024-05-05 14:25:02
gwka-6i7z,False,canceled,yemekpay_creditcard,2024-05-05 14:25:12
cuce-f32n,False,canceled,yemekpay_creditcard,2024-05-05 14:25:17
mzal-ytur,False,canceled,yemekpay_creditcard,2024-05-05 14:25:24
xt4l-bbtn,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-05 14:25:27
t93d-blt6,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-05 14:25:27
k99m-q29o,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-05 14:25:27
u5p2-bpjb,False,canceled,yemekpay_creditcard,2024-05-05 14:25:33
pvui-4poh,False,canceled,yemekpay_creditcard,2024-05-05 14:25:36
t4ml-uzrg,False,canceled,yemekpay_creditcard,2024-05-05 14:25:41
f8cg-egmc,False,canceled,yemekpay_creditcard,2024-05-05 14:25:44
hp9v-d4hb,False,canceled,yemekpay_creditcard,2024-05-05 14:25:45
ja55-j2q6,False,canceled,yemekpay_creditcard,2024-05-05 14:25:47
zx60-hnef,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-05 14:25:57
qjfq-m3cu,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-05 14:25:57
p67t-8zf1,False,canceled,yemekpay_creditcard,2024-05-05 14:25:58
w42f-vbxn,False,canceled,yemekpay_creditcard,2024-05-05 14:25:58
hlca-g1cp,False,canceled,yemekpay_creditcard,2024-05-05 14:26:01
lxoc-x88r,False,canceled,yemekpay_creditcard,2024-05-05 14:26:07
ih3v-0uqt,False,canceled,yemekpay_creditcard,2024-05-05 14:26:07
gtxa-bcmu,False,canceled,yemekpay_creditcard,2024-05-05 14:26:10
oxoj-7qdn,False,canceled,yemekpay_creditcard,2024-05-05 14:26:11
mv8q-1jqx,False,canceled,yemekpay_creditcard,2024-05-05 14:26:20
z1qo-zvdm,False,canceled,yemekpay_creditcard,2024-05-05 14:26:23
yzca-stk2,False,canceled,yemekpay_creditcard,2024-05-05 14:26:32
eelk-hfty,False,canceled,yemekpay_creditcard,2024-05-05 14:26:32
kkvg-ub1k,False,canceled,yemekpay_creditcard,2024-05-05 14:26:39
m5nf-yukz,False,canceled,yemekpay_creditcard,2024-05-05 14:26:53
yope-dt9j,False,canceled,yemekpay_creditcard,2024-05-05 14:26:56
z63d-pf12,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-05 14:26:56
zed4-suae,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-05 14:26:56
dwfw-1eke,False,canceled,yemekpay_creditcard,2024-05-05 14:27:01
r3wh-wzqg,False,canceled,yemekpay_creditcard,2024-05-05 14:27:05
kd5v-xcka,False,canceled,yemekpay_creditcard,2024-05-05 14:27:06
q95i-clv5,False,canceled,yemekpay_creditcard,2024-05-05 14:27:12
x93a-rfxd,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-05 14:27:27
bj5y-w1fp,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-05 14:27:27
j7wt-pawf,False,canceled,yemekpay_creditcard,2024-05-05 14:27:46
epan-inw2,False,canceled,yemekpay_creditcard,2024-05-05 14:27:48
msb0-hn5y,False,canceled,yemekpay_creditcard,2024-05-05 14:27:49
yoly-gn6b,False,canceled,yemekpay_creditcard,2024-05-05 14:27:49
ie0u-1peg,False,canceled,yemekpay_creditcard,2024-05-05 14:27:56
udtq-uz2o,False,canceled,yemekpay_creditcard,2024-05-05 14:27:57
kqfe-l393,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-05 14:27:57
xnen-6rbl,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-05 14:27:57
qtov-n75a,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-05 14:27:57
uuzs-6vdx,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-05 14:27:57
pfhd-6znj,False,canceled,yemekpay_creditcard,2024-05-05 14:27:58
ies0-ppya,False,canceled,yemekpay_creditcard,2024-05-05 14:28:01
a9u3-nuzv,False,canceled,yemekpay_creditcard,2024-05-05 14:28:03
rgcq-dobn,False,canceled,yemekpay_creditcard,2024-05-05 14:28:07
i3cv-p217,False,canceled,yemekpay_creditcard,2024-05-05 14:28:17
ri9y-5txc,False,canceled,yemekpay_creditcard,2024-05-05 14:28:21
xuss-g8i5,False,canceled,yemekpay_creditcard,2024-05-05 14:28:23
