reference,transfer_to_source,status,payment_method_code,updated_at
wwa5-vbse,False,canceled,yemekpay_creditcard,2024-05-06 17:50:29
jn6g-g3r2,False,canceled,yemekpay_creditcard,2024-05-06 17:50:46
gm6k-izfx,False,canceled,yemekpay_creditcard,2024-05-06 17:51:18
ydg0-qz6a,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-06 17:51:27
f9av-lv5u,False,canceled,yemekpay_creditcard,2024-05-06 17:51:34
oxja-h2z6,False,canceled,yemekpay_creditcard,2024-05-06 17:51:38
e836-g4ko,False,canceled_to_wallet,yemekpay_creditcard,2024-05-06 17:52:09
v9ri-7b8b,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-06 17:52:27
b2s0-augf,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-06 17:52:27
n57i-9r50,False,canceled,yemekpay_creditcard,2024-05-06 17:52:56
yeae-unom,False,canceled,yemekpay_creditcard,2024-05-06 17:54:38
w0wj-4o04,False,canceled,yemekpay_creditcard,2024-05-06 17:55:02
m8ns-g7xk,False,canceled,yemekpay_creditcard,2024-05-06 17:55:36
va9o-v4p1,False,canceled_to_wallet,yemekpay_creditcard,2024-05-06 17:55:44
k34i-rxkq,False,canceled,yemekpay_creditcard,2024-05-06 17:57:15
an3j-fu4g,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-06 17:57:27
ou91-3b3v,False,canceled,yemekpay_creditcard,2024-05-06 17:58:28
mbs9-cmfw,False,canceled_to_wallet,yemekpay_creditcard,2024-05-06 17:58:36
sp78-n1w2,False,canceled_to_wallet,yemekpay_creditcard,2024-05-06 17:58:57
zjbv-rll6,False,canceled,yemekpay_creditcard,2024-05-06 17:59:39
ibsn-zgkr,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-06 17:59:57
c5ff-8e15,False,canceled_to_wallet,yemekpay_creditcard,2024-05-06 18:00:13
sh4q-x2ze,False,canceled,yemekpay_creditcard,2024-05-06 18:00:38
lbkq-wgjv,False,canceled,yemekpay_creditcard,2024-05-06 18:02:14
sukr-csml,False,canceled,yemekpay_creditcard,2024-05-06 18:02:43
cddk-hn4d,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-06 18:02:57
um8n-p3iz,False,canceled,yemekpay_creditcard,2024-05-06 18:03:50
p7xe-xmd1,False,canceled,yemekpay_creditcard,2024-05-06 18:03:52
folv-kfzc,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-06 18:05:27
oudc-uroc,False,canceled,yemekpay_creditcard,2024-05-06 18:05:35
mhdk-vkcx,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-06 18:05:57
e3un-cqfl,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-06 18:07:57
era1-sfwl,False,canceled,yemekpay_creditcard,2024-05-06 18:08:16
lmp8-c6lp,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-06 18:09:57
lps8-7gao,False,canceled,yemekpay_creditcard,2024-05-06 18:11:29
vmfn-czl8,False,canceled,yemekpay_creditcard,2024-05-06 18:12:48
z2cg-noo1,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-06 18:16:27
ax4n-xo62,False,canceled,yemekpay_creditcard,2024-05-06 18:18:12
om76-btcy,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-06 18:19:57
fydn-dkwe,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-06 18:24:57
dwc6-3hwd,False,canceled,yemekpay_creditcard,2024-05-06 18:27:05
mar3-0e1k,False,canceled,yemekpay_creditcard,2024-05-06 18:29:40
xlvh-2qyr,False,canceled,yemekpay_creditcard,2024-05-06 18:31:54
fbd2-gct9,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-06 18:33:27
m9ys-4chp,False,canceled,yemekpay_creditcard,2024-05-06 18:33:32
lam1-fquu,False,canceled,yemekpay_creditcard,2024-05-06 18:35:30
l0qd-ldcu,False,canceled,yemekpay_creditcard,2024-05-06 18:36:53
cuys-0smc,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-06 18:38:27
sljq-mzfj,False,canceled,yemekpay_creditcard,2024-05-06 18:42:55
how8-y3lr,False,canceled,yemekpay_creditcard,2024-05-06 18:43:20
om21-md4k,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-06 18:43:27
kqfe-1gf5,False,canceled,yemekpay_creditcard,2024-05-06 18:45:11
lgeh-jpxn,False,canceled,yemekpay_creditcard,2024-05-06 18:45:22
tne9-jat8,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-06 18:45:57
xxn8-54vw,False,canceled,yemekpay_creditcard,2024-05-06 18:46:11
oajk-14at,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-06 18:47:27
ag4p-gh3l,False,canceled,yemekpay_creditcard,2024-05-06 18:47:52
kpej-dibk,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-06 18:48:57
q1qk-yphm,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-06 18:50:27
gkqu-aa7e,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-06 18:51:27
g0gs-p3ue,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-06 18:53:57
ieba-sg2f,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-06 18:54:57
kjzp-lvio,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-06 18:57:27
btu8-7v1n,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-06 18:57:27
cb1f-75nb,False,partially_refunded_to_wallet,balance,2024-05-06 18:57:57
kjp6-emep,False,canceled_to_wallet,yemekpay_creditcard,2024-05-06 18:58:39
w42f-hc0f,False,canceled,yemekpay_creditcard,2024-05-06 18:58:47
o1yl-st2w,False,canceled,yemekpay_creditcard,2024-05-06 18:59:23
n82r-tj6y,False,canceled,yemekpay_creditcard,2024-05-06 19:00:48
ejs8-7lpb,False,canceled,yemekpay_creditcard,2024-05-06 19:02:07
ee9z-n9da,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-06 19:02:57
ludc-zz9b,False,canceled,yemekpay_creditcard,2024-05-06 19:03:11
cs79-sfts,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-06 19:10:57
u2ry-rs1w,False,partially_refunded_to_source,craftgate_edenred,2024-05-06 19:11:27
tjdq-p1y0,False,canceled_to_wallet,yemekpay_creditcard,2024-05-06 19:11:46
uli0-wyqf,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-06 19:19:27
fj9a-g3lg,False,canceled,yemekpay_creditcard,2024-05-06 19:23:01
nyxm-4rq3,False,canceled,yemekpay_creditcard,2024-05-06 19:24:27
ciu0-ies5,False,canceled,yemekpay_creditcard,2024-05-06 19:24:59
f7oo-68mp,False,canceled,yemekpay_creditcard,2024-05-06 19:25:09
c1lg-yr14,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-06 19:25:27
aya6-mza9,False,canceled,yemekpay_creditcard,2024-05-06 19:25:28
en16-zr7y,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-06 19:28:57
mwcn-3dfx,False,canceled,yemekpay_creditcard,2024-05-06 19:29:08
tbrt-m491,False,canceled,yemekpay_creditcard,2024-05-06 19:29:12
akwy-u4pf,False,canceled,yemekpay_creditcard,2024-05-06 19:31:38
wvql-1wb8,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-06 19:34:57
l0g5-m7e0,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-06 19:41:27
stmv-fjn3,False,canceled,yemekpay_creditcard,2024-05-06 19:45:13
qy8x-zbvk,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-06 19:48:27
yvsa-obe1,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-06 19:49:57
pruw-mm45,False,canceled,yemekpay_creditcard,2024-05-06 19:51:11
bimj-mp8e,False,canceled,yemekpay_creditcard,2024-05-06 19:51:39
lnl2-smoq,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-06 19:52:27
snsl-ju15,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-06 19:52:57
i5jm-isy8,False,canceled,yemekpay_creditcard,2024-05-06 19:53:09
